variant,decision_accuracy,grounding_pct,safe_uncertainty_pct,explanation_quality_pct,avg_confidence,n_cases,avg_cost_usd,total_cost_usd,avg_latency_ms,p50_latency_ms,p95_latency_ms,safe_automation_rate,human_review_rate
A,0.45,0.775,0.525,1.0,0.89,20,0.0009980625,0.01996125,2259.2654353999023,2402.704457999789,3079.378322948742,,
B,0.55,0.75,0.65,1.0,0.865,20,0.00022008000000000002,0.0044016,1651.2335936501586,1419.4282495009247,2605.120338951383,,
C-V1,0.6,0.75,0.75,0.9,0.89,20,0.0003516225,0.00703245,1827.7723916497052,1788.800958000138,2351.326131899077,,
