method,k,n_cases,hit_at_1,hit_at_k,recall_at_k,mrr,avg_latency_ms,label
bm25,1,18,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.7824074074074073,0.9999281665942464,BM25 @1
bm25,3,18,0.6666666666666666,0.8333333333333334,0.7777777777777778,0.7824074074074073,0.6041319998581053,BM25 @3
embedding,1,18,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7935185185185184,49.675532444477234,BM25 @1
embedding,3,18,0.6666666666666666,0.8888888888888888,0.8333333333333334,0.7935185185185184,14.171636499769294,BM25 @3
hybrid,1,18,0.7777777777777778,0.7777777777777778,0.6944444444444444,0.8537037037037036,14.123944500170182,BM25 @1
hybrid,3,18,0.7777777777777778,0.9444444444444444,0.9166666666666666,0.8537037037037036,14.085064889109669,BM25 @3
hybrid_reranked,1,18,0.7777777777777778,0.7777777777777778,0.6944444444444444,0.8425925925925926,16.60289811146261,BM25 @1
hybrid_reranked,3,18,0.7777777777777778,0.9444444444444444,0.9166666666666666,0.8425925925925926,15.293131944215729,BM25 @3
