method,k,n_cases,hit_at_1,hit_at_k,recall_at_k,mrr,avg_latency_ms
bm25,1,18,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.7824074074074073,0.9999281665942463
bm25,2,18,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.7824074074074073,0.6544793333078915
bm25,3,18,0.6666666666666666,0.8333333333333334,0.7777777777777778,0.7824074074074073,0.6041319998581053
bm25,5,18,0.6666666666666666,1.0,0.9444444444444444,0.7824074074074073,0.5641481664295296
embedding,1,18,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7935185185185184,49.675532444477234
embedding,2,18,0.6666666666666666,0.8333333333333334,0.75,0.7935185185185184,14.124555610982902
embedding,3,18,0.6666666666666666,0.8888888888888888,0.8333333333333334,0.7935185185185184,14.171636499769294
embedding,5,18,0.6666666666666666,1.0,0.9722222222222222,0.7935185185185184,14.559210722230395
hybrid,1,18,0.7777777777777778,0.7777777777777778,0.6944444444444444,0.8537037037037036,14.123944500170182
hybrid,2,18,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.8537037037037036,14.821458333244664
hybrid,3,18,0.7777777777777778,0.9444444444444444,0.9166666666666666,0.8537037037037036,14.085064889109667
hybrid,5,18,0.7777777777777778,1.0,0.9722222222222222,0.8537037037037036,14.704011611178835
hybrid_reranked,1,18,0.7777777777777778,0.7777777777777778,0.6944444444444444,0.8425925925925926,16.60289811146261
hybrid_reranked,2,18,0.7777777777777778,0.8333333333333334,0.8055555555555556,0.8425925925925926,15.524745444660462
hybrid_reranked,3,18,0.7777777777777778,0.9444444444444444,0.9166666666666666,0.8425925925925926,15.293131944215727
hybrid_reranked,5,18,0.7777777777777778,0.9444444444444444,0.9166666666666666,0.8425925925925926,15.87810177766692
