variant,n_latency,mean_ms,p50_ms,p95_ms,max_ms,n_cost,mean_cost_per_claim_usd,cost_per_100_claims_usd,cost_per_1000_claims_usd,total_measured_cost_usd
A,20,766.5050889209708,697.1279070605249,1112.7075931075028,1161.9980950233412,20,0.00069834,0.069834,0.69834,0.0139668
B,20,1597.9498084616157,1606.3239995072108,2178.3278474725043,2212.3513334880126,20,0.0013629000000000002,0.13629000000000002,1.3629000000000002,0.027258000000000004
C,20,1640.4172115868969,1545.1343975171453,2088.50223708106,2124.2349774374334,20,0.0014854,0.14854,1.4854,0.029708000000000002
